lon,lat,commune
5.965657855949207,49.69138996973397,Koerich
5.96403848394151,49.69136103972362,Koerich
5.963140279404771,49.692056712480714,Koerich
5.962222373522417,49.6917856617194,Koerich
5.961366501557199,49.692294816829836,Koerich
5.96087773791896,49.69171087041748,Koerich
5.960354040474423,49.689851592417945,Koerich
5.960104797393215,49.68986617974043,Koerich
5.958985004301936,49.68876366038208,Koerich
5.957735880153565,49.68806466794054,Koerich
5.956393773576544,49.68772840996096,Koerich
5.956377443516595,49.68755656433775,Koerich
5.9550200100013235,49.68757267840587,Koerich
5.953219718154544,49.68780490930242,Koerich
5.951588175525355,49.68852269175728,Koerich
5.9508544440991535,49.68926838525117,Koerich
5.950291262940949,49.68953802043527,Koerich
5.949318283177778,49.68925625371182,Koerich
5.947955698549281,49.68771671667392,Koerich
5.947136188662113,49.68706111996671,Koerich
5.94562314745415,49.68644762750576,Koerich
5.945090742241474,49.687034917640986,Koerich
5.945006355497027,49.68653141866732,Koerich
5.943857045659859,49.68612201032194,Koerich
5.94373361209639,49.685841463128575,Koerich
5.942356821181813,49.685659295041816,Koerich
5.942467589411137,49.684975977305214,Koerich
5.941949622297604,49.684377202317535,Koerich
5.941125234633549,49.684300935499124,Koerich
5.941089487333763,49.68412372707119,Koerich
5.941401439742537,49.68366001885755,Koerich
5.942282713242129,49.68299757621683,Koerich
5.942245552508659,49.68275059599125,Koerich
5.941843121231587,49.68247539335161,Koerich
5.9424067635784414,49.68209514883495,Koerich
5.942149805508309,49.681639170776286,Koerich
5.942337350601939,49.68133918507594,Koerich
5.944625826220414,49.67904180928679,Koerich
5.94422152828017,49.678524081486756,Koerich
5.943269451164293,49.67772867105772,Koerich
5.9417544808943,49.67787520540561,Koerich
5.9408772319248575,49.678709945146174,Koerich
5.940624480745228,49.67928176691664,Koerich
5.938579737413853,49.67974922220482,Koerich
5.938157579699782,49.680447313827436,Koerich
5.937127407864314,49.68053472220959,Koerich
5.936022400095146,49.67991970162673,Koerich
5.935188309294491,49.68009790554711,Koerich
5.934530164835236,49.679763382204015,Koerich
5.933583524490461,49.67954716018452,Koerich
5.931944971130244,49.67950406728657,Koerich
5.9315576290760985,49.67927789575242,Koerich
5.930819187039777,49.67936028491124,Koerich
5.930223407953257,49.67950706654152,Koerich
5.928740262118372,49.680493219223905,Koerich
5.928303786107619,49.68104058488386,Koerich
5.927429414164624,49.68118956424202,Koerich
5.925744998659745,49.67905699136944,Koerich
5.925499815826107,49.67912522435808,Koerich
